year,iso_week,disease_raw,disease_bucket,case_count,source_pdf,page
2023,29,"KN/CMN/2023/29/785 | Karnataka | Chamarajanagar | Others | 25 | 00 | 18-07-23 | Under
Control | Cases reported from Mora",other,2023,29th 2023.pdf,13
2023,29,"KN/HAV/2023/29/786 | Karnataka | Haveri | Acute
Diarrheal
Disease | 17 | 00 | 19-07-23 | Under
Control | Cases reported ",lepto_cholera,2023,29th 2023.pdf,13
2023,29,"KN/TUM/2023/29/788 | Karnataka | Tumkur | Acute
Diarrheal
Disease | 33 | 00 | 16-07-23 | 17-07-23 | Under
Control | Case",lepto_cholera,2023,29th 2023.pdf,14
2023,29,"Agrahara Layout limits, Bangalore North, Bangalore urban | 29th 2023.pdf | 22",other,2023,29th 2023.pdf,22
2024,29,"KN/MND/2024/29/1579 | Karnataka | Mandya | Fever | 21 | 0 | 19-07-2024 | 19-07-2024 | Under
Control | Cases were reporte",other,2024,29th 2024.pdf,11
2024,29,"KN/RCR/2024/29/1580 | Karnataka | Raichur | Acute
Diarrheal
Disease | 50 | 0 | 20-07-2024 | 21-07-2024 | Under
Control |",lepto_cholera,2024,29th 2024.pdf,11
2024,29,"KN/YDG/2024/29/1582 | Karnataka | Yadgir | Cholera | 71 | 0 | 20-07-2024 | 20-07-2024 | Under
Control | Cases were repor",lepto_cholera,2024,29th 2024.pdf,12
2023,30,"KN/BDR/2023/30/826 | Karnataka | Bidar | Acute
Diarrheal
Disease | 16 | 00 | 29-07-23 | Under
Surveillance | Cases repor",lepto_cholera,2023,30th 2023.pdf,7
2023,30,"KN/BDR/2023/30/827 | Karnataka | Bidar | Acute
Diarrheal
Disease | 19 | 00 | 30-07-23 | Under
Surveillance | Cases repor",lepto_cholera,2023,30th 2023.pdf,7
2023,30,"KN/CMN/2023/30/853 | Karnataka | Chamarajanag
ar | Acute Gastritis | 25 | 00 | 16-07-23 | Under
Surveillance | Cases rep",other,2023,30th 2023.pdf,15
2024,30,"KN/YDG/2024/30/1684 | Karnataka | Yadgir | Acute
Diarrheal
Disease | 27 | 0 | 25-07-2024 | 26-07-2024 | Under
Control | ",lepto_cholera,2024,30th 2024.pdf,17
2023,31,KN/CHI/2024/31/1796 | Karnataka | Chikkamagaluru | 45 | 0 | 30-07-2024 | 31-07-2024 | DPHL Chikkamangaluru. Stool sample,other,2024,31st 2023.pdf,9
2023,31,KN/CHI/2024/31/1797 | Karnataka | Chikkamagaluru | 64 | 0 | 29-07-2024 | 30-07-2024 | DPHL Chikkamangaluru. Stool sample,other,2024,31st 2023.pdf,9
2023,31,KN/RCR/2024/31/1798 | Karnataka | Raichur | 52 | 0 | 30-07-2024 | 30-07-2024 | 31st 2023.pdf | 10,other,2024,31st 2023.pdf,10
2024,31,KN/CHI/2024/31/1796 | Karnataka | Chikkamagaluru | 45 | 0 | 30-07-2024 | 31-07-2024 | DPHL Chikkamangaluru. Stool sample,other,2024,31st 2024.pdf,9
2024,31,KN/CHI/2024/31/1797 | Karnataka | Chikkamagaluru | 64 | 0 | 29-07-2024 | 30-07-2024 | DPHL Chikkamangaluru. Stool sample,other,2024,31st 2024.pdf,9
